,trial_0,trial_1,trial_2,trial_3,trial_4
0,2.074056625366211,2.076465368270874,2.0879554748535156,2.0794589519500732,2.0899760723114014
1,2.064781904220581,2.0671164989471436,2.0784032344818115,2.069917678833008,2.0803117752075195
2,2.0556561946868896,2.0579206943511963,2.0690083503723145,2.0605316162109375,2.0708072185516357
3,2.046680212020874,2.0488786697387695,2.0597734451293945,2.051302671432495,2.061462163925171
4,2.037853956222534,2.0399906635284424,2.0506961345672607,2.0422306060791016,2.0522778034210205
5,2.02917742729187,2.031256675720215,2.0417773723602295,2.033313035964966,2.0432515144348145
6,2.0206501483917236,2.0226752758026123,2.033015012741089,2.0245511531829834,2.034383535385132
7,2.0122714042663574,2.0142459869384766,2.0244107246398926,2.0159432888031006,2.025672197341919
8,2.0040388107299805,2.0059688091278076,2.015960931777954,2.0074868202209473,2.0171163082122803
9,1.995952844619751,1.997841715812683,2.0076663494110107,1.9991836547851562,2.0087132453918457
10,1.988010048866272,1.989863395690918,1.9995241165161133,1.9910300970077515,2.0004630088806152
11,1.9802093505859375,1.982033371925354,1.991533875465393,1.983027696609497,1.99236261844635
12,1.972548484802246,1.974349021911621,1.9836925268173218,1.9751722812652588,1.9844099283218384
13,1.965025544166565,1.9668086767196655,1.9759985208511353,1.967463731765747,1.9766035079956055
14,1.9576393365859985,1.9594122171401978,1.9684501886367798,1.9598989486694336,1.9689407348632812
15,1.9503875970840454,1.9521557092666626,1.9610443115234375,1.9524776935577393,1.9614193439483643
16,1.9432686567306519,1.9450368881225586,1.9537795782089233,1.9451957941055298,1.954035997390747
17,1.936280608177185,1.9380544424057007,1.9466524124145508,1.9380508661270142,1.9467887878417969
18,1.9294191598892212,1.9312047958374023,1.9396597146987915,1.9310420751571655,1.9396753311157227
19,1.9226850271224976,1.9244842529296875,1.9328001737594604,1.9241666793823242,1.9326927661895752
20,1.9160740375518799,1.9178917407989502,1.9260691404342651,1.9174197912216187,1.9258387088775635
21,1.9095840454101562,1.9114235639572144,1.91946542263031,1.9108003377914429,1.919109582901001
22,1.9032129049301147,1.905077338218689,1.91298508644104,1.9043056964874268,1.9125028848648071
