,trial_0,trial_1,trial_2,trial_3,trial_4
583,1.733162760734558,1.7326021194458008,1.7340258359909058,1.7318572998046875,1.7381283044815063
584,1.7329901456832886,1.7324360609054565,1.7338542938232422,1.7316887378692627,1.7379578351974487
585,1.732818841934204,1.7322698831558228,1.7336845397949219,1.7315210103988647,1.7377874851226807
586,1.732647180557251,1.732103943824768,1.733514428138733,1.7313530445098877,1.7376168966293335
587,1.7324765920639038,1.7319386005401611,1.7333449125289917,1.731185793876648,1.7374470233917236
588,1.7323057651519775,1.7317736148834229,1.733175277709961,1.7310184240341187,1.737277865409851
589,1.7321356534957886,1.731608271598816,1.7330061197280884,1.7308521270751953,1.7371084690093994
590,1.731966257095337,1.731444001197815,1.7328379154205322,1.7306855916976929,1.7369393110275269
591,1.7317965030670166,1.7312802076339722,1.7326692342758179,1.7305195331573486,1.7367708683013916
592,1.7316268682479858,1.7311159372329712,1.7325012683868408,1.7303539514541626,1.736603021621704
593,1.731458306312561,1.7309526205062866,1.7323335409164429,1.730189561843872,1.7364349365234375
594,1.7312895059585571,1.7307894229888916,1.7321665287017822,1.7300242185592651,1.7362674474716187
595,1.731121301651001,1.7306264638900757,1.7319996356964111,1.7298589944839478,1.7361005544662476
596,1.730953574180603,1.730463981628418,1.7318331003189087,1.7296943664550781,1.735933542251587
597,1.7307857275009155,1.730301856994629,1.7316668033599854,1.729530930519104,1.7357676029205322
598,1.7306188344955444,1.7301400899887085,1.7315008640289307,1.7293668985366821,1.7356016635894775
599,1.730452537536621,1.7299778461456299,1.7313350439071655,1.7292040586471558,1.735435128211975
600,1.7302855253219604,1.7298173904418945,1.731169581413269,1.729040503501892,1.7352697849273682
601,1.7301199436187744,1.7296562194824219,1.7310045957565308,1.7288782596588135,1.7351042032241821
602,1.7299543619155884,1.7294954061508179,1.7308403253555298,1.7287155389785767,1.7349404096603394
603,1.7297881841659546,1.729335069656372,1.7306756973266602,1.7285537719726562,1.7347755432128906
604,1.7296228408813477,1.7291755676269531,1.7305119037628174,1.7283918857574463,1.7346115112304688
605,1.7294580936431885,1.7290157079696655,1.7303484678268433,1.728230357170105,1.7344474792480469
606,1.7292934656143188,1.7288564443588257,1.7301853895187378,1.728069543838501,1.7342840433120728
607,1.7291288375854492,1.7286970615386963,1.7300220727920532,1.727908730506897,1.7341212034225464
608,1.728965401649475,1.7285385131835938,1.7298592329025269,1.7277482748031616,1.7339586019515991
609,1.7288023233413696,1.7283804416656494,1.7296968698501587,1.7275879383087158,1.7337957620620728
610,1.7286386489868164,1.728222131729126,1.7295351028442383,1.7274283170700073,1.7336338758468628
611,1.7284764051437378,1.7280645370483398,1.7293733358383179,1.7272690534591675,1.7334721088409424
612,1.7283134460449219,1.7279070615768433,1.7292118072509766,1.7271095514297485,1.7333109378814697
613,1.728151559829712,1.7277494668960571,1.729050636291504,1.726951241493225,1.733149528503418
614,1.7279895544052124,1.7275928258895874,1.728890061378479,1.7267922163009644,1.732988715171814
615,1.727828025817871,1.7274364233016968,1.728729486465454,1.7266342639923096,1.7328283786773682
616,1.7276667356491089,1.727280616760254,1.7285693883895874,1.7264765501022339,1.7326685190200806
617,1.7275060415267944,1.727124810218811,1.728409767150879,1.7263191938400269,1.7325085401535034
618,1.7273454666137695,1.726968765258789,1.728250503540039,1.726161241531372,1.7323487997055054
619,1.7271848917007446,1.726813554763794,1.7280912399291992,1.7260046005249023,1.7321895360946655
620,1.727025032043457,1.7266582250595093,1.7279328107833862,1.7258481979370117,1.7320307493209839
621,1.7268656492233276,1.7265037298202515,1.7277740240097046,1.7256914377212524,1.7318719625473022
622,1.7267061471939087,1.7263494729995728,1.7276157140731812,1.7255359888076782,1.7317136526107788
623,1.7265472412109375,1.7261953353881836,1.7274580001831055,1.7253795862197876,1.7315561771392822
624,1.7263885736465454,1.7260417938232422,1.7273006439208984,1.7252243757247925,1.7313982248306274
625,1.7262300252914429,1.725887656211853,1.7271426916122437,1.7250694036483765,1.7312411069869995
626,1.7260717153549194,1.725735068321228,1.726986289024353,1.72491455078125,1.731083869934082
627,1.7259145975112915,1.7255821228027344,1.7268294095993042,1.7247600555419922,1.7309271097183228
628,1.7257566452026367,1.7254289388656616,1.7266731262207031,1.7246057987213135,1.730770468711853
629,1.7255996465682983,1.7252769470214844,1.7265170812606812,1.7244523763656616,1.7306145429611206
630,1.7254431247711182,1.7251249551773071,1.7263612747192383,1.724298119544983,1.7304586172103882
631,1.7252861261367798,1.7249730825424194,1.7262060642242432,1.7241449356079102,1.730303406715393
632,1.7251304388046265,1.72482168674469,1.7260509729385376,1.7239922285079956,1.730148196220398
633,1.724974274635315,1.724670648574829,1.725895881652832,1.7238394021987915,1.729993462562561
634,1.7248190641403198,1.7245197296142578,1.7257412672042847,1.7236871719360352,1.7298387289047241
635,1.7246631383895874,1.7243692874908447,1.725587248802185,1.723535418510437,1.7296844720840454
636,1.72450852394104,1.724219560623169,1.725433349609375,1.7233829498291016,1.729530692100525
637,1.7243543863296509,1.7240689992904663,1.7252798080444336,1.723231315612793,1.7293767929077148
638,1.7241995334625244,1.7239195108413696,1.7251262664794922,1.7230806350708008,1.729223608970642
639,1.7240453958511353,1.7237701416015625,1.7249733209609985,1.7229293584823608,1.7290703058242798
640,1.7238916158676147,1.7236212491989136,1.7248210906982422,1.7227792739868164,1.7289179563522339
641,1.7237385511398315,1.723472237586975,1.7246683835983276,1.7226288318634033,1.7287653684616089
642,1.7235851287841797,1.7233237028121948,1.7245161533355713,1.7224788665771484,1.7286134958267212
643,1.723432183265686,1.7231754064559937,1.7243642807006836,1.722329020500183,1.7284616231918335
644,1.723279595375061,1.723027229309082,1.724212884902954,1.7221788167953491,1.728310227394104
645,1.7231273651123047,1.7228797674179077,1.7240616083145142,1.722030520439148,1.728158950805664
646,1.7229753732681274,1.7227319478988647,1.7239103317260742,1.7218818664550781,1.7280079126358032
647,1.7228235006332397,1.7225850820541382,1.7237600088119507,1.7217323780059814,1.727856993675232
648,1.7226723432540894,1.722437858581543,1.723609209060669,1.7215845584869385,1.7277071475982666
649,1.7225217819213867,1.7222918272018433,1.7234591245651245,1.7214365005493164,1.7275570631027222
650,1.7223703861236572,1.7221453189849854,1.7233093976974487,1.7212889194488525,1.7274068593978882
651,1.722219705581665,1.7219994068145752,1.7231600284576416,1.7211414575576782,1.7272579669952393
