,trial_0,trial_1,trial_2
1005,1.6814931631088257,1.6823670864105225,1.6854462623596191
1006,1.681410312652588,1.682282567024231,1.6853667497634888
1007,1.6813280582427979,1.6821978092193604,1.6852872371673584
1008,1.6812453269958496,1.6821134090423584,1.6852079629898071
1009,1.6811635494232178,1.6820290088653564,1.6851286888122559
1010,1.681081771850586,1.6819446086883545,1.6850488185882568
1011,1.6809996366500854,1.6818606853485107,1.6849700212478638
1012,1.680917739868164,1.6817764043807983,1.6848909854888916
1013,1.6808360815048218,1.6816928386688232,1.684812307357788
1014,1.6807546615600586,1.6816086769104004,1.6847336292266846
1015,1.6806734800338745,1.681525707244873,1.684654951095581
1016,1.68059241771698,1.6814416646957397,1.6845765113830566
1017,1.6805105209350586,1.6813586950302124,1.684497594833374
1018,1.680429458618164,1.681275486946106,1.6844199895858765
1019,1.6803487539291382,1.6811922788619995,1.6843417882919312
1020,1.6802682876586914,1.6811095476150513,1.6842637062072754
1021,1.6801873445510864,1.6810264587402344,1.6841859817504883
1022,1.68010675907135,1.6809440851211548,1.6841078996658325
1023,1.6800267696380615,1.6808613538742065,1.6840306520462036
1024,1.6799464225769043,1.6807788610458374,1.6839526891708374
1025,1.679866075515747,1.6806962490081787,1.6838759183883667
1026,1.6797864437103271,1.6806142330169678,1.6837984323501587
1027,1.67970609664917,1.6805323362350464,1.6837210655212402
1028,1.679626226425171,1.6804505586624146,1.6836442947387695
1029,1.6795461177825928,1.6803683042526245,1.6835674047470093
1030,1.6794668436050415,1.6802866458892822,1.6834908723831177
1031,1.679387092590332,1.68020498752594,1.6834137439727783
1032,1.6793078184127808,1.680124282836914,1.6833372116088867
1033,1.6792289018630981,1.6800423860549927,1.6832606792449951
1034,1.6791497468948364,1.6799614429473877,1.6831848621368408
1035,1.6790704727172852,1.6798800230026245,1.6831083297729492
1036,1.678991675376892,1.6797990798950195,1.6830328702926636
1037,1.6789127588272095,1.679718255996704,1.682956337928772
1038,1.6788345575332642,1.6796369552612305,1.6828811168670654
1039,1.6787556409835815,1.6795570850372314,1.6828051805496216
1040,1.6786772012710571,1.6794761419296265,1.6827296018600464
1041,1.6785991191864014,1.679396152496338,1.6826540231704712
