,trial_0
0,2.0819859504699707
1,2.0725467205047607
2,2.0632598400115967
3,2.054126024246216
4,2.0451455116271973
5,2.0363175868988037
6,2.027641534805298
7,2.019117593765259
8,2.010745048522949
9,2.0025203227996826
10,1.994444489479065
11,1.9865143299102783
12,1.9787291288375854
13,1.971085786819458
14,1.96358323097229
15,1.9562174081802368
16,1.9489878416061401
17,1.9418915510177612
18,1.9349250793457031
19,1.928086280822754
20,1.9213733673095703
21,1.914782166481018
22,1.9083107709884644
23,1.9019559621810913
24,1.8957165479660034
25,1.8895882368087769
26,1.883569359779358
27,1.8776569366455078
28,1.8718490600585938
29,1.86614191532135
30,1.8605340719223022
31,1.8550224304199219
32,1.8496054410934448
33,1.8442798852920532
34,1.8390436172485352
35,1.8338953256607056
36,1.8288307189941406
37,1.8238500356674194
38,1.8189496994018555
39,1.8141275644302368
40,1.8093820810317993
41,1.8047106266021729
42,1.8001126050949097
43,1.7955849170684814
44,1.7911255359649658
45,1.786733627319336
46,1.7824068069458008
47,1.778144121170044
48,1.7739431858062744
49,1.7698032855987549
50,1.765721321105957
51,1.761697769165039
52,1.7577295303344727
53,1.753816843032837
54,1.749956727027893
55,1.746148943901062
56,1.7423924207687378
57,1.738684892654419
58,1.735026240348816
59,1.7314151525497437
60,1.7278499603271484
61,1.7243303060531616
62,1.7208549976348877
63,1.7174233198165894
64,1.7140339612960815
65,1.7106859683990479
66,1.7073783874511719
67,1.7041113376617432
68,1.7008823156356812
69,1.6976922750473022
70,1.6945393085479736
71,1.6914234161376953
72,1.6883434057235718
73,1.6852983236312866
74,1.682288408279419
75,1.6793121099472046
76,1.676369547843933
77,1.6734600067138672
78,1.6705818176269531
79,1.6677359342575073
80,1.664920449256897
81,1.662136435508728
82,1.6593818664550781
83,1.6566565036773682
84,1.6539608240127563
85,1.651293158531189
86,1.6486539840698242
87,1.6460424661636353
88,1.6434580087661743
89,1.6409004926681519
90,1.6383686065673828
91,1.6358633041381836
92,1.6333831548690796
93,1.6309279203414917
94,1.6284984350204468
95,1.626092553138733
96,1.6237109899520874
97,1.6213533878326416
98,1.6190185546875
99,1.6167068481445312
100,1.6144179105758667
101,1.6121515035629272
102,1.609906792640686
103,1.6076843738555908
104,1.605483055114746
105,1.6033029556274414
106,1.601143479347229
107,1.5990046262741089
108,1.5968869924545288
109,1.5947884321212769
110,1.5927096605300903
111,1.5906509160995483
112,1.5886114835739136
113,1.5865906476974487
114,1.584588885307312
115,1.582605004310608
116,1.5806403160095215
117,1.5786930322647095
118,1.5767639875411987
119,1.5748530626296997
120,1.5729585886001587
121,1.5710813999176025
122,1.5692217350006104
123,1.5673784017562866
124,1.5655518770217896
125,1.5637412071228027
126,1.5619468688964844
127,1.5601693391799927
128,1.5584067106246948
129,1.5566600561141968
130,1.5549287796020508
131,1.5532126426696777
132,1.5515117645263672
133,1.5498254299163818
134,1.5481539964675903
135,1.5464969873428345
136,1.5448545217514038
137,1.5432262420654297
138,1.5416120290756226
139,1.5400115251541138
140,1.5384249687194824
141,1.5368520021438599
142,1.535292148590088
143,1.5337456464767456
144,1.5322121381759644
145,1.5306919813156128
146,1.529184341430664
147,1.5276894569396973
148,1.5262073278427124
149,1.52473783493042
150,1.5232800245285034
151,1.521834373474121
152,1.520400881767273
153,1.5189793109893799
154,1.5175695419311523
155,1.5161713361740112
156,1.5147842168807983
157,1.5134086608886719
158,1.5120447874069214
159,1.510691523551941
160,1.5093495845794678
161,1.5080180168151855
162,1.506697654724121
163,1.5053879022598267
164,1.5040887594223022
165,1.5027995109558105
166,1.5015209913253784
167,1.5002527236938477
168,1.49899423122406
169,1.4977459907531738
170,1.4965075254440308
171,1.4952788352966309
172,1.4940601587295532
173,1.4928505420684814
174,1.4916504621505737
175,1.4904597997665405
176,1.4892786741256714
177,1.4881070852279663
178,1.4869438409805298
179,1.4857896566390991
180,1.4846447706222534
181,1.483508586883545
182,1.482380747795105
183,1.4812618494033813
184,1.4801512956619263
185,1.479049563407898
186,1.47795569896698
187,1.4768704175949097
188,1.475793719291687
189,1.474724531173706
190,1.4736636877059937
191,1.4726108312606812
192,1.4715653657913208
193,1.4705281257629395
194,1.4694985151290894
195,1.4684762954711914
196,1.4674619436264038
197,1.466455340385437
198,1.465456247329712
199,1.464463710784912
200,1.463478684425354
201,1.4625009298324585
202,1.4615306854248047
203,1.4605672359466553
204,1.4596104621887207
205,1.4586610794067383
206,1.4577183723449707
207,1.456782579421997
208,1.4558533430099487
209,1.4549307823181152
210,1.454014778137207
211,1.4531054496765137
212,1.4522024393081665
213,1.4513057470321655
214,1.4504152536392212
215,1.4495316743850708
216,1.4486538171768188
217,1.4477823972702026
218,1.4469170570373535
219,1.446057677268982
220,1.4452043771743774
221,1.4443566799163818
222,1.4435155391693115
223,1.4426792860031128
224,1.4418491125106812
225,1.4410251379013062
226,1.4402061700820923
227,1.4393935203552246
228,1.438585877418518
229,1.4377833604812622
230,1.436987280845642
231,1.436195731163025
232,1.4354099035263062
233,1.434629201889038
234,1.4338544607162476
235,1.4330838918685913
236,1.4323190450668335
237,1.431559443473816
238,1.4308044910430908
239,1.4300544261932373
240,1.4293098449707031
241,1.4285699129104614
242,1.4278345108032227
243,1.4271047115325928
244,1.4263792037963867
245,1.4256585836410522
246,1.4249424934387207
247,1.4242311716079712
248,1.423524260520935
249,1.4228222370147705
250,1.4221246242523193
251,1.421431541442871
252,1.420742392539978
253,1.4200581312179565
254,1.419378399848938
255,1.4187026023864746
256,1.4180314540863037
257,1.4173641204833984
258,1.416701078414917
259,1.4160422086715698
260,1.415387749671936
261,1.4147372245788574
262,1.4140902757644653
263,1.4134485721588135
264,1.412810206413269
265,1.4121755361557007
266,1.4115451574325562
267,1.410918116569519
268,1.4102953672409058
269,1.4096765518188477
270,1.409061074256897
271,1.4084497690200806
272,1.4078419208526611
273,1.4072375297546387
274,1.4066373109817505
275,1.4060403108596802
276,1.4054471254348755
277,1.4048575162887573
278,1.4042713642120361
279,1.4036885499954224
280,1.4031094312667847
281,1.4025334119796753
282,1.4019612073898315
283,1.4013923406600952
284,1.400826334953308
285,1.4002639055252075
286,1.3997050523757935
287,1.399148941040039
288,1.3985967636108398
289,1.3980473279953003
290,1.397500991821289
291,1.3969578742980957
292,1.3964180946350098
293,1.3958814144134521
294,1.395346999168396
295,1.3948166370391846
296,1.3942887783050537
297,1.3937642574310303
298,1.393242597579956
299,1.392723560333252
300,1.3922077417373657
301,1.3916943073272705
302,1.3911842107772827
303,1.3906768560409546
304,1.3901728391647339
305,1.389670729637146
306,1.3891714811325073
307,1.388675570487976
308,1.3881820440292358
309,1.3876911401748657
310,1.3872032165527344
311,1.3867177963256836
312,1.3862348794937134
313,1.3857544660568237
314,1.3852769136428833
315,1.384801983833313
316,1.3843293190002441
317,1.3838590383529663
318,1.3833917379379272
319,1.3829267024993896
320,1.3824642896652222
321,1.3820040225982666
322,1.3815462589263916
323,1.3810913562774658
324,1.3806380033493042
325,1.3801873922348022
326,1.3797391653060913
327,1.3792933225631714
328,1.3788498640060425
329,1.378408670425415
330,1.3779693841934204
331,1.3775328397750854
332,1.3770982027053833
333,1.376665711402893
334,1.376235842704773
335,1.375807285308838
336,1.3753817081451416
337,1.3749579191207886
338,1.3745365142822266
339,1.3741176128387451
340,1.3736997842788696
341,1.3732842206954956
342,1.3728710412979126
343,1.372460126876831
344,1.3720507621765137
345,1.3716435432434082
346,1.3712389469146729
347,1.370835304260254
348,1.370434045791626
349,1.3700350522994995
350,1.3696374893188477
351,1.3692420721054077
352,1.368848204612732
353,1.3684566020965576
354,1.3680667877197266
355,1.3676787614822388
356,1.3672927618026733
357,1.3669085502624512
358,1.3665260076522827
359,1.3661450147628784
360,1.3657664060592651
361,1.3653892278671265
362,1.3650140762329102
363,1.364640235900879
364,1.3642680644989014
365,1.3638980388641357
366,1.3635293245315552
367,1.363162875175476
368,1.3627973794937134
369,1.3624340295791626
370,1.3620721101760864
371,1.361711859703064
372,1.3613529205322266
373,1.3609963655471802
374,1.3606410026550293
375,1.360287070274353
376,1.3599345684051514
377,1.3595842123031616
378,1.3592349290847778
379,1.3588870763778687
380,1.3585412502288818
381,1.3581966161727905
382,1.3578537702560425
383,1.3575116395950317
384,1.357171654701233
385,1.3568329811096191
386,1.356495976448059
387,1.3561605215072632
