,0
trial_0,2169.3790810108185
trial_1,2173.6520228385925
trial_2,2187.423692703247
trial_3,2180.7627799510956
trial_4,2180.499344110489
trial_5,2178.8445258140564
trial_6,2180.5957720279694
trial_7,2168.7281601428986
trial_8,2169.1424810886383
trial_9,2165.9474930763245
