,trial_0
0,2.068873882293701
1,2.0337953567504883
2,2.0013139247894287
3,1.97116219997406
4,1.9428846836090088
5,1.916050910949707
6,1.8908859491348267
7,1.866362452507019
8,1.842879295349121
9,1.8208446502685547
10,1.8000274896621704
11,1.7797958850860596
12,1.761330485343933
13,1.7429503202438354
14,1.7249284982681274
15,1.7087973356246948
16,1.6928980350494385
17,1.676871657371521
18,1.6619271039962769
19,1.646835207939148
20,1.6322135925292969
21,1.6176985502243042
22,1.604625940322876
23,1.5908383131027222
24,1.5762126445770264
25,1.5630258321762085
26,1.5512205362319946
27,1.5370190143585205
28,1.5250506401062012
29,1.5119999647140503
30,1.5001453161239624
31,1.488785982131958
32,1.475893259048462
33,1.4651216268539429
34,1.4532181024551392
35,1.442604899406433
36,1.4312392473220825
37,1.4198518991470337
38,1.4101780652999878
39,1.400032877922058
40,1.389980435371399
41,1.3803867101669312
42,1.370445728302002
43,1.3609956502914429
44,1.351867914199829
45,1.3434337377548218
46,1.334884762763977
47,1.3268531560897827
48,1.3180909156799316
49,1.3094617128372192
50,1.3023831844329834
51,1.2955259084701538
52,1.2869102954864502
53,1.280716896057129
54,1.2724112272262573
55,1.2660118341445923
56,1.2581819295883179
57,1.2525688409805298
58,1.247269630432129
59,1.240336537361145
60,1.2348089218139648
61,1.2282809019088745
62,1.223472237586975
63,1.2165026664733887
64,1.2129563093185425
65,1.2070003747940063
66,1.2023597955703735
67,1.1973683834075928
68,1.1920409202575684
69,1.1881412267684937
70,1.1834567785263062
71,1.177280306816101
72,1.1744049787521362
73,1.1698321104049683
74,1.166723608970642
75,1.1630808115005493
76,1.157363772392273
77,1.155357837677002
78,1.1526893377304077
79,1.1482264995574951
80,1.144888162612915
81,1.140694499015808
82,1.1363388299942017
83,1.1329244375228882
84,1.1311619281768799
85,1.1289209127426147
86,1.1265894174575806
87,1.1220548152923584
88,1.1197761297225952
89,1.1168760061264038
90,1.11347234249115
91,1.1107934713363647
92,1.1091707944869995
93,1.1071895360946655
94,1.1054790019989014
95,1.1014608144760132
96,1.0999654531478882
97,1.096805453300476
98,1.0944030284881592
99,1.0915465354919434
100,1.0900459289550781
101,1.0887147188186646
102,1.0849107503890991
103,1.0839290618896484
104,1.0813902616500854
105,1.0795814990997314
106,1.0769670009613037
107,1.0758260488510132
108,1.072990894317627
109,1.0699814558029175
110,1.070066213607788
111,1.067497730255127
112,1.0664571523666382
113,1.0630221366882324
114,1.0617396831512451
115,1.0606833696365356
116,1.0604276657104492
117,1.0563997030258179
118,1.054835319519043
119,1.0553648471832275
120,1.0512250661849976
121,1.052168369293213
122,1.0488978624343872
123,1.048782229423523
124,1.0452507734298706
125,1.044852375984192
126,1.0429366827011108
127,1.0395797491073608
128,1.0393203496932983
129,1.0378025770187378
130,1.0364625453948975
131,1.0353091955184937
132,1.0330586433410645
133,1.0315122604370117
134,1.0317186117172241
135,1.0290515422821045
136,1.0308338403701782
137,1.027448296546936
138,1.0272438526153564
139,1.0242506265640259
140,1.0222703218460083
141,1.021808385848999
142,1.019620418548584
143,1.0202354192733765
144,1.0179699659347534
145,1.0174542665481567
146,1.0158919095993042
147,1.0139654874801636
148,1.013124942779541
149,1.0121270418167114
150,1.0114796161651611
151,1.0107618570327759
152,1.0072203874588013
153,1.007534146308899
154,1.0075716972351074
155,1.006524682044983
156,1.0059939622879028
157,1.0043303966522217
158,1.0026085376739502
159,1.0006282329559326
160,1.0009411573410034
161,0.9982552528381348
162,0.9971916079521179
163,0.9978229403495789
164,0.9948846101760864
165,0.9935852289199829
166,0.9929737448692322
167,0.9938712120056152
168,0.9932176470756531
169,0.9907949566841125
170,0.9898132681846619
171,0.9906994700431824
172,0.9893032908439636
173,0.986434280872345
174,0.9868206977844238
175,0.986508309841156
176,0.9841591715812683
177,0.9845870137214661
178,0.9812641143798828
179,0.9827017188072205
180,0.9805269241333008
181,0.981044590473175
182,0.9775062799453735
183,0.9783364534378052
184,0.9762450456619263
185,0.9768719673156738
186,0.9748579263687134
187,0.9749860763549805
188,0.9724521636962891
189,0.9738051295280457
190,0.9702469706535339
191,0.9688175320625305
192,0.9708971381187439
193,0.9699188470840454
194,0.9679752588272095
195,0.9687016606330872
196,0.9668318033218384
197,0.9662551879882812
198,0.9661175012588501
199,0.9650278091430664
200,0.9639386534690857
201,0.9650585055351257
202,0.96047443151474
203,0.9619507193565369
204,0.9605398178100586
205,0.9620786905288696
206,0.9595451354980469
207,0.9609817862510681
208,0.9603859186172485
209,0.9588491320610046
210,0.9580110907554626
211,0.9557322859764099
212,0.9584532976150513
213,0.9550369381904602
214,0.9546340107917786
215,0.954277515411377
216,0.9533519148826599
217,0.9503785967826843
218,0.952997624874115
219,0.9515551924705505
220,0.9513689279556274
221,0.9500536918640137
222,0.9501555562019348
223,0.9501674771308899
224,0.9484304785728455
225,0.9478611946105957
226,0.9450284242630005
227,0.9469653367996216
228,0.9468862414360046
229,0.9460418820381165
230,0.9433534741401672
231,0.9417163133621216
232,0.9447466731071472
233,0.9412795305252075
234,0.9431759119033813
235,0.9420523643493652
236,0.9439391493797302
237,0.9415948987007141
238,0.9397140741348267
239,0.9387151598930359
240,0.9386391639709473
241,0.9370449185371399
242,0.9363503456115723
243,0.9341095089912415
244,0.9359473586082458
245,0.9388996958732605
246,0.937067449092865
247,0.9330942034721375
248,0.934772789478302
249,0.9329972267150879
250,0.9352096915245056
251,0.9318259358406067
252,0.9327701926231384
253,0.9326847195625305
254,0.9325425028800964
255,0.9323360323905945
256,0.9304991960525513
257,0.9296854138374329
258,0.9302202463150024
259,0.9285905957221985
260,0.9265050292015076
261,0.9270950555801392
262,0.9264001250267029
263,0.9264392852783203
264,0.9262078404426575
265,0.9258151054382324
266,0.9240954518318176
267,0.9260201454162598
268,0.9255813956260681
269,0.9228668212890625
270,0.9222478270530701
271,0.9238834381103516
272,0.9229739308357239
273,0.9221808314323425
274,0.9205177426338196
275,0.9219062924385071
276,0.9193580746650696
277,0.9213153123855591
278,0.9200615882873535
279,0.9203913807868958
280,0.9215513467788696
281,0.9182792901992798
282,0.9193195700645447
283,0.9182087182998657
284,0.9155035018920898
285,0.9148661494255066
286,0.9187908172607422
287,0.9178420305252075
288,0.9179059863090515
289,0.9131833910942078
290,0.914303719997406
291,0.9112735986709595
292,0.9135851263999939
293,0.9143635034561157
294,0.9144501090049744
295,0.9136929512023926
296,0.9127770662307739
297,0.9136462211608887
298,0.9147542119026184
299,0.9116491675376892
300,0.911616325378418
301,0.9106424450874329
302,0.9117986559867859
303,0.9101731181144714
304,0.9107820391654968
305,0.9091154336929321
306,0.9090085029602051
307,0.9094691276550293
308,0.9061036109924316
309,0.9103930592536926
310,0.9066892862319946
311,0.9073562026023865
312,0.9065129160881042
313,0.9058629870414734
314,0.9078071713447571
315,0.9048007130622864
316,0.9069913029670715
317,0.9054338335990906
318,0.9037247896194458
319,0.9041650891304016
320,0.9050083160400391
321,0.9040132761001587
322,0.9033832550048828
323,0.9046770930290222
324,0.9023029208183289
325,0.9008054137229919
326,0.9033328294754028
327,0.9036712050437927
328,0.9023691415786743
329,0.9011549353599548
330,0.901268482208252
331,0.9004395604133606
332,0.8990188837051392
333,0.9004971385002136
334,0.9006590843200684
335,0.8975993394851685
336,0.9009265899658203
337,0.8994296193122864
338,0.8997281193733215
339,0.8982501029968262
340,0.9007924199104309
341,0.8970215916633606
342,0.8986658453941345
343,0.8988985419273376
344,0.8972835540771484
345,0.8960244059562683
346,0.8966700434684753
347,0.8965725898742676
348,0.8969594836235046
349,0.8964607119560242
350,0.8974196314811707
351,0.8954141736030579
352,0.8927618265151978
353,0.8932251930236816
354,0.8936051726341248
355,0.8944904208183289
356,0.8936675190925598
357,0.8959380388259888
358,0.8931319117546082
359,0.8919984102249146
360,0.8901863098144531
361,0.8921452760696411
362,0.890232264995575
363,0.8917227983474731
364,0.8896485567092896
365,0.891120433807373
366,0.890758216381073
367,0.890172004699707
368,0.8910962343215942
369,0.8936716318130493
370,0.8902677893638611
371,0.890422523021698
372,0.8881813287734985
373,0.8919388055801392
374,0.8886141180992126
375,0.8908661007881165
376,0.8883129358291626
377,0.8869467973709106
378,0.8879567384719849
379,0.8897228240966797
380,0.8883698582649231
381,0.8881402015686035
382,0.8891138434410095
383,0.8862740397453308
384,0.8841835260391235
385,0.8852076530456543
386,0.8863822221755981
387,0.8882635235786438
388,0.8864626884460449
389,0.8861945271492004
390,0.8844670653343201
391,0.8875905871391296
392,0.8821727633476257
393,0.8873505592346191
394,0.8850993514060974
395,0.8834862112998962
396,0.8832406997680664
397,0.8861045837402344
398,0.8820156455039978
399,0.8819934725761414
400,0.8856056332588196
401,0.8842324614524841
402,0.8811916708946228
403,0.8825576901435852
404,0.8828790783882141
405,0.8823975920677185
406,0.8844186663627625
407,0.8819174766540527
408,0.8809830546379089
409,0.8827679753303528
410,0.8804141879081726
411,0.8833451271057129
412,0.8818589448928833
413,0.8827818036079407
414,0.8827099204063416
415,0.8804330229759216
416,0.8789974451065063
417,0.8830550312995911
418,0.88416588306427
419,0.8805729746818542
420,0.8781527876853943
421,0.8768329620361328
422,0.8794199824333191
423,0.8790723085403442
424,0.8788418173789978
425,0.8807322382926941
426,0.8806421160697937
427,0.8790408968925476
428,0.8784522414207458
429,0.8790435194969177
430,0.8771805167198181
431,0.8803203701972961
432,0.8763589859008789
433,0.878990113735199
434,0.8784087300300598
435,0.8785943984985352
436,0.8768709301948547
437,0.8776092529296875
438,0.875501275062561
439,0.8763373494148254
440,0.8740232586860657
441,0.8785436749458313
442,0.8738085627555847
443,0.8764150738716125
444,0.8769647479057312
445,0.8776283264160156
446,0.8767791986465454
447,0.8775648474693298
448,0.8752120137214661
449,0.875335693359375
450,0.8751050233840942
451,0.8740984201431274
452,0.8731703758239746
453,0.8736273050308228
454,0.8756482005119324
455,0.8770385980606079
456,0.8752871751785278
457,0.87358158826828
458,0.8749778866767883
459,0.8729265332221985
460,0.8756510615348816
461,0.873751163482666
462,0.8738446235656738
463,0.8753188252449036
464,0.8727712631225586
465,0.8726491928100586
466,0.8752908110618591
467,0.8737207651138306
468,0.874059796333313
469,0.870987594127655
470,0.8715197443962097
471,0.8706762194633484
472,0.870387852191925
473,0.8720488548278809
474,0.8732249140739441
475,0.8706599473953247
476,0.8723316192626953
477,0.8708082437515259
478,0.8684529662132263
479,0.8698127865791321
480,0.8696194887161255
481,0.8713361024856567
482,0.8710424304008484
483,0.8722856640815735
484,0.8723943829536438
485,0.8676069378852844
486,0.869598388671875
487,0.8717948198318481
488,0.8717457056045532
489,0.8689147233963013
490,0.8697078824043274
491,0.8683951497077942
492,0.8691410422325134
493,0.8688634037971497
494,0.868826687335968
495,0.8685579299926758
496,0.869158923625946
497,0.8711560368537903
498,0.8675529360771179
499,0.8670310378074646
500,0.868789792060852
501,0.8709978461265564
502,0.8689546585083008
503,0.8699014782905579
504,0.8690957427024841
505,0.8665578961372375
506,0.8676803708076477
507,0.8701604008674622
508,0.8692560195922852
509,0.8678304553031921
510,0.8675934672355652
511,0.8681090474128723
512,0.8664659857749939
513,0.8674489259719849
514,0.8680137991905212
515,0.8657999038696289
516,0.8697296977043152
517,0.8690872192382812
518,0.8670008778572083
519,0.8663415312767029
520,0.8675509691238403
521,0.8664743304252625
522,0.8671234250068665
523,0.8688592910766602
524,0.8668944239616394
525,0.8671053051948547
526,0.8683459162712097
527,0.8668026924133301
528,0.8649722933769226
529,0.8663469552993774
530,0.8668102622032166
531,0.8648676872253418
532,0.8651164174079895
533,0.8672345280647278
534,0.8648978471755981
535,0.8669037818908691
536,0.8648567199707031
537,0.8682368397712708
538,0.8661674857139587
539,0.8653945326805115
540,0.8653745651245117
541,0.8656300902366638
542,0.8655903935432434
543,0.8660392761230469
544,0.8643439412117004
545,0.8659025430679321
546,0.8661343455314636
547,0.8640339970588684
548,0.8620921969413757
549,0.862843930721283
550,0.863243579864502
551,0.860877513885498
552,0.8628774881362915
553,0.862930953502655
554,0.8638091087341309
555,0.8609736561775208
556,0.8613675236701965
557,0.8657671809196472
558,0.8638584017753601
559,0.8609685301780701
560,0.8612939715385437
561,0.8627314567565918
562,0.8631677627563477
563,0.8617907762527466
564,0.8641298413276672
565,0.8634624481201172
566,0.8647719621658325
567,0.866814136505127
568,0.8633324503898621
569,0.8600327372550964
570,0.8612365126609802
571,0.860909104347229
572,0.8634794354438782
573,0.8642175793647766
574,0.8607708811759949
575,0.8614625930786133
576,0.8621347546577454
577,0.8610358238220215
578,0.862855851650238
579,0.8642783164978027
580,0.8635138869285583
581,0.864242672920227
582,0.861529529094696
583,0.8615197539329529
584,0.8588910102844238
585,0.8625559210777283
586,0.8631523251533508
587,0.8603658080101013
588,0.859420120716095
589,0.8621751666069031
590,0.8622679114341736
591,0.8611571192741394
592,0.860161304473877
593,0.8601363301277161
